Title,Other titles,ISBN,All names,Series title,Number within series,Country of publication,Place of publication,Publisher,Date of publication,Genre
101 funny things about global warming,One hundred and one funny things about global warming,9.7816E+12,"Harris, Sidney, author [person]",,,United States of America,New York,Bloomsbury,2008,Comic or graphic novel ; Humour or satire
10th muse : the beginning,Tenth muse,9.78145E+12,"Lashley, Ken [person] ; Wolfman, Marv [person]",,,England ; United States of America,"Bellingham, Washington ; London",Bluewater ; Diamond,2011,Comic or graphic novel
11th cat special,Eleventh cat,9.78076E+12,"Kim, MiKyung, creator [person]",,,England ; United States of America,London ; New York,"Little, Brown",2008,Comic or graphic novel ; Fantasy
11th cat,Eleventh cat,,"Kim, MiKyung, creator [person]",,,Korea (South),Seoul,ICE Kunion,2005-,Comic or graphic novel ; Fantasy ; Novel ; Young adult fiction
12 labors,Twelve labors ; Wonder Woman. The twelve labors,9781401234942 ; 9781781163733,"Marston, William Moulton, 1893-1947 [person] ; Swan, Curt [person] ; Pasko, Martin [person]",,,United States of America,New York,DC Comics,2012,Comic or graphic novel ; Fiction
1234,"One, two, three, four",9.7813E+12,"Morrison, Grant, author [person] ; Lee, Jae, 1972-, artist [person]",Fantastic Four ; Marvel knights,,United States of America,New York,Marvel Worldwide,2018,Comic or graphic novel ; Fiction ; Science fiction
13 badges,13 judges ; Judge Dredd ; Judge Dredd. Volume 4 ; Thirteen badges ; Thirteen judges,9.78161E+12,"Swierczynski, Duane, author [person] ; Stanisci John, artist [person] ; Johnson, Staz, artist [person] ; Daniel, Nelson, artist [person] ; Belanger, Andy, artist [person]",,,United States of America,"San Diego, California",,2014,Comic or graphic novel ; Fiction ; Science fiction
13 coins,Thirteen coins,9.78178E+12,"Withers, David, cartoonist ; illustrator [person] ; Brown, Ryan, 1962-, illustrator [person] ; Jackson, Michael B., author [person] ; Brennan, Martin, 1977-, author [person] ; Bisley, Simon, illustrator [person]",,,England,London,Titan Comics,2015,Comic or graphic novel
13 judges,13 badges ; Judge Dredd ; Judge Dredd. Volume 4 ; Thirteen badges ; Thirteen judges,9.78161E+12,"Swierczynski, Duane, author [person] ; Stanisci John, artist [person] ; Johnson, Staz, artist [person] ; Daniel, Nelson, artist [person] ; Belanger, Andy, artist [person]",,,United States of America,"San Diego, California",,2014,Comic or graphic novel ; Fiction ; Science fiction
13th boy,Thirteenth boy,,"Lee, SangEun [person] ; Baan, Natalie [person] ; Park, JiEun [person]",,,United States of America,New York,,2009-2012,Comic or graphic novel ; Novel ; Translations into English ; Young adult fiction
140 Characters,Unfollow : 140 Characters ; one hundred and forty characters,9.7814E+12,"Dowling, Mike, artist [person] ; Brusco, Giulia, illustrator [person] ; Robins, Clem, 1955-, illustrator [person] ; Williams, Rob (Robert Glyndwr), author [person] ; Taylor, Matt, illustrator [person] ; Winter, Quinton, illustrator [person] ; Guéra, R. M., illustrator [person]",,,United States of America,"Burbank, California",DC Comics,2016,Comic or graphic novel
1520,,,"Kai, creator [person]",,,Canada,"Richmond Hill, Ontariotario",Udon Entertainment,2008-,Comic or graphic novel ; Novel
1602,"Marval 1602 ; Marvel comics (New York, N.Y.)",9.78191E+12,"Klein, Todd [person] ; McKowen, Scott, illustrator [person] ; Kubert, Andy, illustrator [person] ; Isanove, Richard, illustrator [person] ; Gaiman, Neil, author [person] ; Quesada, Joe, editor [person] ; Dakesian, Nanci, editor [person] ; Lowe, Nick, 1979-, editor [person] ; Lamy, Kelly, editor [person]",The ultimate graphic novels collection,32 [The ultimate graphic novels collection],England,London,Hachette,2013,Comic or graphic novel
1917 : the red year,Nineteen seventeen,9.78191E+12,"Sanders, Tim, author [person] ; Newsinger, John, 1948-, author [person]",,,England,London,Bookmarks Publications,2016,Comic or graphic novel ; Fiction ; Historical fiction ; Novel
1946,,9.7816E+12,"Azaceta, Paul [person] ; Mignola, Michael [person] ; Dysart, Josh [person]",B.P.R.D,9 [B.P.R.D],England ; United States of America,"London ; Milwaukie, Oregon",Dark Horse ; Diamond,2008,Comic or graphic novel ; Fantasy ; Fiction
1947,B.P.R.D. 1947 ; Bureau for Paranormal Research and Defense ; Mike Mignola's B.P.R.D. 1947 ; Nineteen forty seven,9.7816E+12,"Moon, Fábio [person] ; Dysart, Josh [person] ; Mignola, Michael [person] ; Bá, Gabriel [person] ; Allie, Scott [person]",,,United States of America,"Milwaukie, Oregon",Dark Horse,2010,Comic or graphic novel ; Fantasy ; Horror ; Novel
1948,Mike Mignola's B.P.R.D : 1948 ; Mike Mignola's Bureau for Paranormal Research and Defense : 1948,9.78162E+12,"Mignola, Michael, author [person] ; Allie, Scott, editor [person] ; Fiumara, Max, artist [person] ; Arcudi, John, author [person] ; Stewart, Dave, artist [person]",B.P.R.D,,United States of America,"Milwaukie, Oregon",Dark Horse,2013,Comic or graphic novel
1957,Hit (Comic strip),9.78161E+12,"Del Rey, Vanesa R., artist [person] ; Dukeshire, Ed [person] ; Guardia, Niko [person] ; Carlson, Bryce, author ; novelist [person]",,,United States of America,"Los Angeles, California",BOOM! Studios,2016,Comic or graphic novel ; Detective and mystery
1968 : Jungle Jim,'68. Volume 03. Jungle Jim ; Jungle Jim ; Nineteen sixty-eight : Jungle Jim ; Sixty-eight : Jungle Jim,9.78161E+12,"Zornow, Jeff, artist [person] ; Fotos, Jay, artist [person] ; Van Dyke, Nate, 1979-, artist [person] ; Kidwell, Mark, author [person]",,,United States of America,"Berkeley, California",Image Comics,2013,Comic or graphic novel ; Horror
1988 Carousel,Deadly Class. Volume 5. 1988 Carousel,9.78153E+12,"Remender, Rick, author [person] ; Craig, Wes, artist [person] ; Boyd, Jordan, artist [person] ; Girner, Sebastian, editor [person]",,,United States of America,"Portland, Oregon",Image Comics,2017,Comic or graphic novel
1988 Love like blood,Deadly class. Volume 7. 1988 Love like blood ; Love like blood,9.78153E+12,"Girner, Sebastian, editor [person] ; Remender, Rick, author [person] ; Wooten, Rus [person] ; Boyd, Jordan [person] ; Craig, Wes, artist [person]",,,United States of America,"Portland, Oregon",Image Comics,2018,Comic or graphic novel
1st legion of utopia,First legion of utopia,9.78199E+12,"Davidge, James, author [person] ; Johnson, Nick (Nicholas Alexander), artist [person] ; Prodor, Bob, artist [person]",,,Canada,Canmore,Renegade Arts Entertainment,2019,Comic or graphic novel ; Fiction ; Novel
1st strike,First strike,9.78168E+12,"Scott, Mairghread, author [person] ; Wycough, John, artist [person] ; Dunbar, Max, artist [person] ; Rodriguez, David A., author [person] ; Zarate, Ander, colourist [person]",Transformers Gijoe,,United States of America,"San Diego, California",,2018,Comic or graphic novel ; Science fiction
2 dozen years of Egghead,Two dozen years of Egghead,9.78099E+12,"Cheo, artist ; illustrator ; writer [person]",,,England,Bristol,Cheo Hive,2012,Comic or graphic novel ; Pictorial work
2 giant lizards take over the world,Two giant lizards take over the world,9.78091E+12,"Chan-Reeves, Marlowe, artist ; author [person]",Raven's Revenge,,England,London,Entropy Press,2012,Comic or graphic novel ; Fiction
2 sisters,Two sisters,9.78162E+12,"Kindt, Matt, author [person]",Mind MGMT,,United States of America,Milwaukie,Dark Horse Originals,2015,Comic or graphic novel ; Fiction ; Suspense
20 seconds,20 secondes. English ; Twenty seconds,9.78185E+12,"Francq, Philippe, artist [person] ; Hamme, Jean van, 1939-, author [person] ; Saincantin, Jerome, translator [person]",Largo Winch,16 [Largo Winch],England,"Canterbury, Kent",Cinebook,2014,Comic or graphic novel ; Novel ; Suspense fiction
2000 AD annual,2000 AD ; Judge Anderson: Psi files ; Judge Dredd annual ; Judge Dredd mega-special ; Judge Dredd megazine ; Judge Dredd yearbook ; Psi files,,"Ranson, Arthur [person] ; Grant, Alan, 1949- [person] ; Wagner, John, 1949- [person]",,,England,Oxford,Rebellion,2009,Comic or graphic novel ; Fiction
2000 AD presents Third World War,Third World War,,"Mills, Pat, author [person] ; Ezquerra, Carlos, artist [person]",,,England,London,Fleetway Publications,1990-1990,Comic or graphic novel
2000 AD,"(No subtitle) -- ; Alien zoo -- ; Block mania -- ; Block war -- ; Complete Brian Bolland ; Covers, pinups and more by Brian Bolland -- ; Crime and punishment -- ; Face changers -- ; Father earth -- ; Full Earth crimes -- ; Judge Death -- ; Judge Death lives -- ; Judge Dredd. The complete Brian Bolland ; Land race -- ; Luna-1 War -- ; Night of the fog -- ; Outlaw -- ; Program notes ; Punks rule -- ; Requiem for an alien -- ; The Judge Child -- ; The Mega-City 5000 -- ; The Oxygen Board -- ; The Slay-Riders -- ; The cursed earth -- ; The day the law died -- ; The first Luna Olympics -- ; The forever crimes -- ; The ghost of Echo Bravo 4 -- ; The jigsaw man -- ; Tweak's story -- ; Walter the wobot --",9.78161E+12,"Bolland, Brian, artist [person] ; Wagner, John, 1949-, author [person]",,,United States of America,"San Diego, California",,2012,Comic or graphic novel ; Science fiction
20000 leagues under the sea,"20,000 leagues under the sea ; Twenty thousand leagues under the sea",9.78819E+12,"Ahluwalia, Bhupendra [person] ; Verne, Jules, 1828-1905 [person] ; Rafter, Dan [person]",,,England ; India,Delhi ; London,Campfire ; Frances Lincoln,2010,Children's fiction ; Comic or graphic novel ; Science fiction
2000AD,Storming heaven : the Frazer Irving collection,9.7819E+12,"Irving, Frazer [person] ; Smith, John, 1967- [person]",,,England,Oxford,Rebellion,2007,Comic or graphic novel ; Fiction ; Novel
2020 visions,Jamie Delano's 2020 visions,9.78097E+12,"Pleece, Warren [person] ; Delano, Jamie [person]",,,Canada,"Toronto, Ontario",Speakeasy Comics,2005,Comic or graphic novel ; Fiction ; Novel
2024 : a graphic novel,,9.78156E+12,"Rall, Ted [person]",,,England ; United States of America,London ; New York,Turnaround,2004,Comic or graphic novel ; Fiction ; Science fiction
2042,,9.78156E+12,"Rall, Ted [person]",,,England ; United States of America,London ; New York,Turnaround,2001,Comic or graphic novel ; Fiction ; Science fiction
20th century boys,Naoki Urasawa's 20th century boys ; Nijūisseiki shōnen. English,,"Nagasaki, Takashi [person] ; Urasawa, Naoki, 1960- [person] ; Wegmüller, Akemi [person]",,,United States of America,"San Francisco, California",Media,2009-,Comic or graphic novel ; Fiction ; Novel
21 down,,9.78086E+12,"Palmiotti, Jimmy [person] ; Gray, Justin, writer [person] ; Saiz, Jesús [person]",,,England,London,Titan,2011,Comic or graphic novel ; Fiction ; Novel
21st century Tank Girl,Twenty-first century Tank Girl,9.78178E+12,"Edwards, Jonathan, illustrator [person] ; Bond, Philip, 1966-, illustrator [person] ; Parson, Brett, 1984-, illustrator [person] ; Mahfood, Jim, illustrator [person] ; Hewlett, Jamie, illustrator [person] ; Knowles, Craig, illustrator [person] ; Johnson-Cadwell, Warwick, illustrator [person] ; Martin, Alan C., author [person]",,,England,London,Titan Comics,2015,Comic or graphic novel ; Novel
24 omnibus,,9.7816E+12,"Ryall, Chris [person]",,,United States of America,"San Diego, California",,2009,Comic or graphic novel ; Fiction
24,,9.78193E+12,"Haynes, Mark L. [person] ; Guedes, Renato [person] ; Vaughn, J. C. [person] ; Clark, Manny [person]",,,England ; United States of America,"London ; San Diego, California",Diamond,2005,Comic or graphic novel ; Fiction
24seven,NYC Mech presents 24seven. Volume one,9.78158E+12,"Brandon, Ivan, editor [person]",,,United States of America,"Berkeley, California",Image Comics,2006,Comic or graphic novel
25 coolest dead superheroes of all time,Powers. The 25 coolest dead superheroes of all time ; Powers. The twenty-five coolest dead superheroes of all time ; Powers. Vol. 12. The 25 coolest dead superheroes of all time ; Twenty-five coolest dead superheroes of all time,9.78079E+12,"Oeming, Michael Avon [person] ; Bendis, Brian Michael [person]",,,United States of America,New York,Marvel Publishing,2009,Comic or graphic novel ; Detective and mystery ; Novel
28 days later : the aftermath,,9.78001E+12,"Niles, Steve [person]",,,England,London,Fox Atomic Comics,2007,Comic or graphic novel
28 days later omnibus,28 days later (BOOM! Studios (Firm)) ; 28 days later (Motion picture) ; Twenty-eight days later omnibus,9.78161E+12,"Aragón, Alejandro, artist ; illustrator [person] ; Lowe, Johnny, artist [person] ; Dukeshire, Ed, artist [person] ; Manco, Leonardo, illustrator [person] ; Filardi, Nick, artist [person] ; Salas, Ron, illustrator [person] ; Peppino, Pablo, illustrator [person] ; Oleksicki, Marek, 1979-, illustrator [person] ; Shalvey, Declan, illustrator [person] ; Nelson, Michael Alan, author [person]",,,United States of America,"Los Angeles, California",BOOM! Studios,2014,Comic or graphic novel
3 Stooges,Boys are back ; The Three Stooges. Volume one. The boys are back,9.78195E+12,"Gallant, S. L. (Shannon Londin), artist [person] ; Hill, Christopher, author ; writer [person] ; Scalf, Chris, artist [person] ; Belson, Jerry, author [person] ; Vaughn, J. C., author [person] ; Ropp, Adrian, artist [person] ; Moore, Sparky, artist ; author [person] ; Smith, Bob, 1951 November 18-, artist [person] ; Fraim, Brendon, artist [person] ; Fraim, Brian, artist [person] ; Check, S. A., author [person] ; Kuhoric, James, author [person] ; Galvan, Bill, artist [person]",,,United States of America,"Bel Air, Maryland",American Mythology Productions,2017,Comic or graphic novel
3 devils,Three devils,9.78163E+12,"Hampton, Bo, artist ; author [person] ; Mohler, Jeremy, artist [person]",,,United States of America,"San Diego, California",,2016,Comic or graphic novel
3 in a bed,Three in a bed,,,,,England,Oxford,Alleged Literature,1991-,Comic or graphic novel
3 musketeers,Classics illustrated presents The three musketeers ; The three musketeers ; Trois mousquetaires,9.78191E+12,"Brooks, Jon, editor [person] ; Evans, George, 1920-2001, artist [person] ; Dumas, Alexandre, 1802-1870 [person] ; Smith, Sherwood [person]",Classics illustrated,,England,"Newbury, Berkshire",,2016,Adventure ; Children's fiction ; Comic or graphic novel ; Novel
3 story : the secret history of the giant man,Secret history of the giant man,9.7816E+12,"Kindt, Matt [person]",,,United States of America,"Milwaukie, Oregon",Dark Horse,2009,Comic or graphic novel ; Novel
3 x 4,3x4 ; Three by four ; Three times four with Annemarie : a TOON book,9.78194E+12,"Brunetti, Ivan, artist ; author [person]",,,United States of America,New York,TOON,2018,Comic or graphic novel ; Fiction ; Novel
3,"Three ; Three (Berkeley, Calif.)",9.78161E+12,"Kelly, Ryan, 1976-, artist [person] ; Cowles, Clayton, artist [person] ; Gillen, Kieron, author ; interviewer [person] ; Bellaire, Jordie, artist [person] ; Hodkinson, Stephen, interviewee [person]",,,United States of America,"Berkeley, California",Image Comics,2014,Comic or graphic novel
30 days of night : 30 days til death,,9.7816E+12,"Lapham, David [person] ; Uyetake, Neil [person] ; O'Grady, Leonard [person] ; Mowry, Chris [person]",30 days of night,,England ; United States of America,"London ; San Diego, California",Diamond,2009,Comic or graphic novel ; Fiction ; Horror
30 days of night : dark days,Thirty days of night,9.7816E+12,"Templesmith, Ben, 1984- [person] ; Niles, Steve [person]",,,England ; United States of America,"London ; San Diego, California",Diamond,2011,Comic or graphic novel
30 days of night annual,30 days of night ; Thirty days of night annual,,,,,United Kingdom ; United States of America,"San Diego, California",,2004-,Comic or graphic novel ; Fiction ; Periodical
30 days of night compendium,Thirty days of night compendium,9.78161E+12,"Wickline, Dan, author [person] ; DeConnick, Kelly Sue, author [person] ; Lapham, David, author [person] ; Niles, Steve, author [person] ; Lansdale, Joe R., 1951-, author [person] ; Fraction, Matt, author [person] ; Templesmith, Ben, 1984-, author [person] ; Templesmith, Ben, 1984-, artist [person]",,,United States of America,"San Diego, California",,2013,Comic or graphic novel
30 days of night omnibus,Thirty days of night omnibus,9.78161E+12,"Templesmith, Ben, 1984- [person] ; Robbins, Robbie [person] ; Niles, Steve [person]",,,United States of America,"San Diego, California",,2011,Comic or graphic novel ; Novel
30 days of night,,9.78184E+12,"Templesmith, Ben, 1984- [person] ; Niles, Steve [person]",,,England,London,Titan,2003,Comic or graphic novel ; Fiction ; Horror
3000,Thomas Alsop. The 3000 ; Thomas Alsop. Volume two ; Three thousand,9.78161E+12,"Bennett, Deron [person] ; Schmidt, Palle, 1972-, artist [person] ; Miskiewicz, Chris, author [person]",,,United States of America,"Los Angles, California",BOOM! Studios,2016,Comic or graphic novel ; Science fiction
311 Ditchling Road,Three hundred and eleven Ditchling Road,9.78191E+12,"Locke, Daniel, author [person]",,,England,London,Nobrow,2014,Autobiographical fiction ; Comic or graphic novel ; Fiction ; Novel
32 Kills,,9.78191E+12,"Garley, Mike, author [person] ; Clift, Andrew W. (Andrew William), artist [person]",,,United Kingdom,,Comichaus,2018,Comic or graphic novel
365 days,Three hundred and sixty-five days,9.7819E+12,"Doucet, Julie, 1965- [person]",,,Canada ; England,"Enfield ; Montréal, Quebec",Drawn & Quarterly,2007,Comic or graphic novel ; Diary
365 samurai and a few bowls of rice,Three hundred and sixty-five samurai and a few bowls of rice,9.7816E+12,"Kalonji, Jean-Philippe, 1973- [person]",,,United States of America,"Milwaukie, Oregon",Dark Horse,2009,Comic or graphic novel ; Fiction ; Novel
39 Minutes,7 days from Hell ; Asset ; Crosshair ; Forever ; Pilot season 2010,9.78161E+12,"Harms, William, 1969- [person] ; Lando, Jerry [person]",,,United States of America,Los Angeles,Top Cow Productions,2011,Comic or graphic novel
3x4,3 x 4 ; Three by four ; Three times four with Annemarie : a TOON book,9.78194E+12,"Brunetti, Ivan, artist ; author [person]",,,United States of America,New York,TOON,2018,Comic or graphic novel ; Fiction ; Novel
4 Doctors,Doctor Who (Television program : 2005-) ; Four Doctors,9781782765967 ; 9781785851063,"Cornell, Paul, author [person] ; Edwards, Neil, artist [person] ; Nunes, Ivan [person] ; British Broadcasting Corporation [organisation] ; Betancourt, Jimmy [person] ; Starkings, Richard [person]",BBC Doctor Who,,England,London,Titan Comics,2016,Comic or graphic novel ; Science fiction
4 First family,Fantastic four : first family ; First family,9.78079E+12,"Weston, Chris, 1969- [person] ; Casey, Joe [person]",Fantastic Four,,United States of America,New York,Marvel,2006,Comic or graphic novel ; Fiction
4 kids walk into a bank : a torrid tale of child crime,4 kids walk into a bank ; Four kids walk into a bank,9.78163E+12,"Rosenberg, Matthew, author ; novelist [person] ; Boss, Tyler, artist [person]",A Boss & Rosenberg comic book,,United States of America,Los Angeles,"Black Mask Studios, LLC",2017,Comic or graphic novel ; Novel
4 kids walk into a bank,4 kids walk into a bank : a torrid tale of child crime ; Four kids walk into a bank,9.78163E+12,"Rosenberg, Matthew, author ; novelist [person] ; Boss, Tyler, artist [person]",A Boss & Rosenberg comic book,,United States of America,Los Angeles,"Black Mask Studios, LLC",2017,Comic or graphic novel ; Novel
4 store,De fire store : når de døde våkner,9.78821E+12,"Moen, Geir, 1976- [person] ; Runde, Øystein, 1979- [person]",,,Norway,Oslo,Gyldendal,2007,Comic or graphic novel
4,High school girls. 4,9.78159E+12,"Tawa, Oshima [person]",,,England ; United States of America,"Fremont, California ; London",Diamond ; DrMaster,2005,Comic or graphic novel ; Fiction ; Novel ; Young adult fiction
40 : a Doonesbury retrospective,Doonesbury retrospective ; Forty : a Doonesbury retrospective,9.78074E+12,"Trudeau, G. B., 1948- [person]",,,England ; United States of America,"Kansas City, Missouri ; London",Andrews McMeel Publishing,2010,Comic or graphic novel
400 BC : the story of the ten thousand,Four hundred BC,9.78938E+12,"Helfand, Lewis [person] ; Kumar Singh, Lalit [person]",,,England ; India,Delhi ; London,Campfire ; Frances Lincoln,2011,Children's fiction ; Comic or graphic novel
47 Ronin : the tale of the loyal retainers,47 Ronin ; Forty seven Ronin ; Shi ju shichi Ronin,9.7816E+12,"Sakai, Stan, illustrator [person] ; Richardson, Mike, 1950-, author [person] ; Koike, Kazuo, 1936-, editor [person]",,,United States of America,"Milwaukie, Oregon",Dark Horse,2014,Comic or graphic novel ; Fiction ; Novel
47 Ronin,47 Ronin : the tale of the loyal retainers ; Forty seven Ronin ; Shi ju shichi Ronin,9.7816E+12,"Sakai, Stan, illustrator [person] ; Richardson, Mike, 1950-, author [person] ; Koike, Kazuo, 1936-, editor [person]",,,United States of America,"Milwaukie, Oregon",Dark Horse,2014,Comic or graphic novel ; Fiction ; Novel
4ever,Fantastic four. Fourever ; The Fantastic four. Vol. 1. 4ever,9.78185E+12,"Marvel Comics Group [organisation] ; Pichelli, Sara, artist [person] ; Slott, Dan, author [person]",,,England,Tunbridge Wells,Panini Publishing,2019,Comic or graphic novel
5 days to die,Five days to die,9.7816E+12,"Chee, artist [person] ; Schmidt, Andy, 1976- [person]",,,United States of America,"San Diego, California",,2010,Comic or graphic novel ; Fiction ; Novel ; Suspense fiction
5 is the perfect number,,9.7819E+12,Igort [person],,,Canada ; England,London ; Montréal,Drawn & Quarterly ; Turnaround,2003,Comic or graphic novel ; Fiction ; Novel
5 miles south of the universe,Five miles south of the universe,9.78079E+12,"Kurth, Steve, artist [person] ; Carey, Mike, 1959- [person]",X-men legacy,,England ; United States of America,London ; New York,Marvel ; Turnaround,2012,Comic or graphic novel ; Fiction
5 nightmares,Five nightmares ; Invincible Iron Man. Vol. 1. The five nightmares ; The Invincible Iron Man. The five nightmares,9.78079E+12,"Larrocca, Salvador [person] ; Arbona, Alejandro [person] ; Fraction, Matt [person] ; Simons, Warren [person]",,,United States of America,New York,Marvel Worldwide,2008,Comic or graphic novel ; Fiction ; Novel ; Science fiction
5 ronin,,9.78079E+12,"Milligan, Peter [person]",,,England ; United States of America,London ; New York,Marvel ; Turnaround,2011,Comic or graphic novel ; Fiction
50 shades of clay,Fifty shades of clay,9781629918211 ; 9781629918228,"Yates, Jolyon, artist [person] ; Whitman, Jeff, author [person]",Gumby,1 [Gumby],United States of America,New York,Papercutz,2017,Comic or graphic novel
50 years : a home for heroes,"Commando (London, England)",9.78185E+12,"Low, George [person] ; Malkin, Lesley [person] ; Payne, Alice, editor [person] ; Pople, James [person]",Commando for action and adventure,,England,London,Carlton,2011,Comic or graphic novel
51 Delta,,9.7819E+12,"Sergeant, Ryan [person] ; Dulaney, Sean [person]",,,Canada,"Coquitlam, British Columbia",Arcana Studio,2010,Comic or graphic novel ; Fiction ; Science fiction
52 pickup,Booster Gold. 52 pickup ; Fifty-two pickup,9781401217877 ; 9781401220068 ; 9781845768478 ; 9781845769154,"Jurgens, Dan [person] ; Johns, Geoff, 1973- [person] ; Katz, Jeff, 1978- [person] ; Rapmund, Norm [person]",,,England ; United States of America,London ; New York,DC Comics ; Titan,2008,Comic or graphic novel ; Novel ; Science fiction
6th gun,Ghost dance ; The sixth gun. Book 6. Ghost dance,9.78162E+12,"Hurtt, Brian, artist [person] ; Bunn, Cullen, author [person]",,,United States of America,"Portland, Oregon",Oni Press,2014,Comic or graphic novel ; Fantasy ; Novel
6th planet,,9.78194E+12,"Perre, Sven Van De [person] ; Bols, David [person] ; Delnoy, Jonas [person]",,,England ; United States of America,"London ; San Diego, California",Ape Entertainment ; Diamond,2012,Comic or graphic novel ; Fiction ; Science fiction
7 against chaos,Harlan Ellison's 7 against chaos ; Seven against chaos,9.7814E+12,"Chadwick, Paul (Paul H.), artist [person] ; Ellison, Harlan, author [person]",,,United States of America,New York,DC Comics,2013,Comic or graphic novel ; Novel
7 blades of Master Darque,The seven blades of Master Darque,9.78168E+12,"Cafu, artist [person] ; Kindt, Matt, author [person] ; Maurer, Kevin, author [person] ; Segovia, Stephen, artist [person] ; Laming, Marc, 1968-, artist [person]",Ninjak,volume 6 [Ninjak],United States of America,New York,Valiant Entertainment LLC,2017,Comic or graphic novel
7 brothers,John Woo's 7 brothers omnibus. 1 ; Seven brothers omnibus. Volume 1,9.78161E+12,"George, Edison [person] ; Ennis, Garth [person] ; Raab, Ben [person] ; Kang, Jeevan [person] ; Woo, John, 1948- [person] ; Hughes, Deric A. [person]",,,United States of America,"Runnemede, New Jersey",Dynamite Entertainment,2012,Comic or graphic novel ; Fiction
7 days from Hell,39 Minutes ; Asset ; Crosshair ; Forever ; Pilot season 2010,9.78161E+12,"Harms, William, 1969- [person] ; Lando, Jerry [person]",,,United States of America,Los Angeles,Top Cow Productions,2011,Comic or graphic novel
7 days of death,"On the shoulders of Titans, pt. II ; Red Robin, seven days of death ; Red Robin. 7 days of death",9781401233648 ; 9781781160732,"McCarthy, Ray [person] ; Jeanty, Georges [person] ; Wright, Jason (Jason St. John) [person] ; Nicieza, Fabian [person] ; Cipriano, Sal [person] ; Hunter, Rob, 1971- [person] ; To, Marcus [person] ; Krul, J. T. [person] ; Major, Guy [person]",,,United States of America,New York,DC Comics,2012,Comic or graphic novel ; Science fiction
